timestamp,activity_name,source,details,case_id,mapped_activity,concept:name,deviance_category,deviance_rationale
00:00:01,Shadow: Unscheduled discussion of housing challenges,Abstracted,Aggregated 7 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of housing challenges,Deviation: Shadow: Unscheduled discussion of housing challenges,innovation,rule:INNOVATION
00:01:01,Shadow: Unscheduled discussion of affordable housing investments,Abstracted,Aggregated 7 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of affordable housing investments,Deviation: Shadow: Unscheduled discussion of affordable housing investments,innovation,rule:INNOVATION
00:01:31,Budget Amendments Discussion,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Budget Amendments Discussion,Deviation: Budget Amendments Discussion,N/A,formal_event
00:02:01,Shadow: Unscheduled discussion of affordable housing funding,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of affordable housing funding,Deviation: Shadow: Unscheduled discussion of affordable housing funding,innovation,rule:INNOVATION
00:02:31,Shadow: Unscheduled discussion of affordable rental housing funding,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of affordable rental housing funding,Deviation: Shadow: Unscheduled discussion of affordable rental housing funding,innovation,rule:INNOVATION
00:03:01,Shadow: Unscheduled discussion of affordable housing design review exceptions,Abstracted,Aggregated 4 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of affordable housing design review exceptions,Deviation: Shadow: Unscheduled discussion of affordable housing design review exceptions,innovation,rule:INNOVATION
00:03:31,Shadow: Unscheduled discussion of city-funded units and executive order exhibits,Abstracted,Aggregated 3 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:04:01,Shadow: Unscheduled discussion of executive order and program design,Abstracted,Aggregated 4 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:04:31,Shadow: Unscheduled discussion of equity-centered program design and homelessness strategies,Abstracted,Aggregated 3 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of equity-centered program design and homelessness strategies,Deviation: Shadow: Unscheduled discussion of equity-centered program design and homelessness strategies,innovation,rule:INNOVATION
00:05:01,Shadow: Unscheduled discussion of strategies to prevent homelessness,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of strategies to prevent homelessness,Deviation: Shadow: Unscheduled discussion of strategies to prevent homelessness,innovation,rule:INNOVATION
